"Key Financial Ratios of Ambuja Cements (in Rs. Cr.)","Dec 22","Dec 21","Dec 20","Dec 19","Dec 18"," ",
"Per Share Ratios","","","","",""," ",
"Basic EPS (Rs.)","10.33","10.48","9.02","7.70","7.49"," ",
"Diluted EPS (Rs.)","10.11","10.48","9.01","7.70","7.49"," ",
"Cash EPS (Rs.)","13.49","13.25","11.64","10.44","10.25"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","141.05","111.84","102.31","111.83","105.82"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","141.05","111.84","102.31","111.83","105.82"," ",
"Dividend / Share(Rs.)","0.00","6.30","18.00","1.50","1.50"," ",
"Revenue from Operations/Share (Rs.)","79.21","70.33","57.27","58.76","57.19"," ",
"PBDIT/Share (Rs.)","16.17","17.59","15.20","12.97","11.41"," ",
"PBIT/Share (Rs.)","13.01","14.82","12.58","10.23","8.65"," ",
"PBT/Share (Rs.)","12.15","14.03","12.16","9.81","7.58"," ",
"Net Profit/Share (Rs.)","10.33","10.48","9.02","7.70","7.49"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","20.41","25.01","26.54","22.07","19.95"," ",
"PBIT Margin (%)","16.42","21.06","21.96","17.41","15.13"," ",
"PBT Margin (%)","15.33","19.94","21.23","16.69","13.26"," ",
"Net Profit Margin (%)","13.04","14.89","15.74","13.10","13.09"," ",
"Return on Networth / Equity (%)","7.32","9.36","8.81","6.88","7.07"," ",
"Return on Capital Employed (%)","9.00","12.89","11.92","9.01","8.00"," ",
"Return on Assets (%)","6.01","7.38","7.02","5.66","5.90"," ",
"Total Debt/Equity (X)","0.00","0.00","0.00","0.00","0.00"," ",
"Asset Turnover Ratio (%)","0.51","0.52","0.43","43.22","45.09"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","2.00","1.26","0.98","1.54","1.54"," ",
"Quick Ratio (X)","1.71","0.99","0.81","1.33","1.20"," ",
"Inventory Turnover Ratio (X)","0.85","4.12","3.68","12.23","8.89"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","188.57","19.48","26.70"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","146.04","14.37","19.51"," ",
"Earnings Retention Ratio (%)","0.00","0.00","-88.57","80.52","73.30"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","-46.04","85.63","80.49"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","97,275.41","70,848.65","46,532.16","34,314.10","41,267.70"," ",
"EV/Net Operating Revenue (X)","6.18","5.07","4.09","2.94","3.63"," ",
"EV/EBITDA (X)","30.30","20.28","15.42","13.32","18.21"," ",
"MarketCap/Net Operating Revenue (X)","6.62","5.37","4.35","3.34","3.92"," ",
"Retention Ratios (%)","0.00","0.00","-88.57","80.51","73.29"," ",
"Price/BV (X)","3.72","3.38","2.43","1.76","2.12"," ",
"Price/Net Operating Revenue","6.62","5.37","4.35","3.34","3.92"," ",
"Earnings Yield","0.02","0.03","0.04","0.04","0.03"," ",
