"Quarterly Results of Apollo Hospitals Enterprises (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","1,638.74","1,715.58","1,529.69","1,420.73","2,846.17"," ",
"Other Operating Income","--","--","--","--","--"," ",
"Total Income From Operations","1,638.74","1,715.58","1,529.69","1,420.73","2,846.17"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","464.33","494.56","464.29","415.31","459.85"," ",
"Purchase of Traded Goods","--","--","--","--","1,203.05"," ",
"Increase/Decrease in Stocks","--","--","--","--","-16.23"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","322.46","316.36","265.09","270.92","306.41"," ",
"depreciat","88.86","91.99","89.15","104.70","97.41"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","435.07","451.59","411.97","402.45","468.68"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","328.02","361.08","299.19","227.35","327.00"," ",
"Other Income","55.31","42.91","10.52","18.66","11.82"," ",
"P/L Before Int., Excpt. Items & Tax","383.33","403.99","309.71","246.01","338.82"," ",
"Interest","60.21","58.40","59.59","57.57","62.10"," ",
"P/L Before Exceptional Items & Tax","323.12","345.59","250.12","188.44","276.72"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","323.12","345.59","250.12","188.44","276.72"," ",
"Tax","77.53","66.40","-83.02","39.69","101.31"," ",
"P/L After Tax from Ordinary Activities","245.59","279.19","333.14","148.75","175.41"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","4.92","--"," ",
"Net Profit/(Loss) For the Period","245.59","279.19","333.14","153.67","175.41"," ",
"Equity Share Capital","71.89","71.89","71.89","71.89","71.89"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","17.08","19.42","23.17","10.69","12.20"," ",
"Diluted EPS","17.08","19.42","23.17","10.69","12.20"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","17.08","19.42","23.17","10.69","12.20"," ",
"Diluted EPS.","17.08","19.42","23.17","10.69","12.20"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
