"Profit & Loss account of Apollo Tyres (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"INCOME","","","","",""," ",
"Revenue From Operations [Gross]","14,306.79","11,354.51","10,832.70","12,089.58","10,388.13"," ",
"Less: Excise/Sevice Tax/Other Levies","0.00","0.00","0.00","0.00","254.89"," ",
"Revenue From Operations [Net]","14,306.79","11,354.51","10,832.70","12,089.58","10,133.24"," ",
"Total Operating Revenues","14,649.40","11,733.40","11,062.03","12,353.77","10,299.70"," ",
"Other Income","126.90","121.52","34.90","111.47","121.85"," ",
"Total Revenue","14,776.30","11,854.92","11,096.93","12,465.24","10,421.55"," ",
"EXPENSES","","","","",""," ",
"Cost Of Materials Consumed","9,493.77","6,238.32","6,072.95","7,583.84","6,281.15"," ",
"Purchase Of Stock-In Trade ","846.59","694.83","651.73","735.53","251.76"," ",
"Operating And Direct Expenses","0.00","0.00","0.00","0.00","0.00"," ",
"Changes In Inventories Of FG,WIP And Stock-In Trade","-348.45","6.92","112.83","-261.47","12.55"," ",
"Employee Benefit Expenses","1,024.02","910.90","826.12","737.24","709.68"," ",
"Finance Costs","382.16","379.41","225.70","137.86","137.54"," ",
"Depreciation And Amortisation Expenses","823.91","713.38","620.71","446.33","364.38"," ",
"Other Expenses","2,202.68","1,848.11","2,005.52","2,079.51","1,797.18"," ",
"Total Expenses","14,424.68","10,791.87","10,515.54","11,458.84","9,554.23"," ",
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","351.62","1,063.06","581.39","1,006.39","867.31"," ",
"Exceptional Items","-1.27","-11.02","0.00","-200.00","0.00"," ",
"Profit/Loss Before Tax","350.35","1,052.04","581.39","806.39","867.31"," ",
"Tax Expenses-Continued Operations","","","","",""," ",
"Current Tax","61.16","190.44","102.66","180.65","188.47"," ",
"Less: MAT Credit Entitlement","0.00","0.00","0.00","0.00","0.00"," ",
"Deferred Tax","28.13","138.78","-29.90","33.63","56.46"," ",
"Tax For Earlier Years","0.00","0.00","0.00","0.00","0.00"," ",
"Total Tax Expenses","89.29","329.22","72.76","214.28","244.92"," ",
"Profit/Loss After Tax And Before ExtraOrdinary Items","261.06","722.82","508.62","592.11","622.39"," ",
"Profit/Loss From Continuing Operations","261.06","722.82","508.62","592.11","622.39"," ",
"Profit/Loss For The Period","261.06","722.82","508.62","592.11","622.39"," ",
"OTHER ADDITIONAL INFORMATION","","","","",""," ",
"EARNINGS PER SHARE","","","","",""," ",
"Basic EPS (Rs.)","4.11","11.72","8.89","10.35","11.55"," ",
"Diluted EPS (Rs.)","4.11","11.72","8.89","10.35","11.55"," ",
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Raw Materials","3,127.97","1,953.03","2,247.13","3,284.23","2,594.18"," ",
"Indigenous Raw Materials","6,365.81","4,285.29","3,825.82","4,299.61","3,686.97"," ",
"STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Stores And Spares","9.30","7.18","6.41","8.06","6.17"," ",
"Indigenous Stores And Spares","100.56","76.61","83.69","91.88","73.70"," ",
"DIVIDEND AND DIVIDEND PERCENTAGE","","","","",""," ",
"Equity Share Dividend","0.00","0.00","357.53","171.62","152.71"," ",
"Tax On Dividend","0.00","0.00","73.49","35.28","31.09"," ",
"Equity Dividend Rate (%)","325.00","350.00","300.00","325.00","300.00"," ",
