"Yearly Results of Apollo Tyres (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","14,649.40","11,354.51","10,832.70","12,089.58","10,133.24"," ",
"Other Operating Income","--","378.89","229.33","264.18","166.46"," ",
"Total Income From Operations","14,649.40","11,733.40","11,062.03","12,353.77","10,299.70"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","9,493.77","6,238.32","6,072.95","7,583.84","6,281.15"," ",
"Purchase of Traded Goods","846.59","694.83","651.73","735.53","251.76"," ",
"Increase/Decrease in Stocks","-348.45","6.92","112.83","-261.47","12.55"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","1,024.02","910.90","826.12","737.24","709.68"," ",
"Depreciation","823.91","713.38","620.71","446.33","364.38"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","2,202.68","1,848.11","2,005.52","2,079.51","1,797.18"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","606.88","1,320.95","772.18","1,032.78","883.00"," ",
"Other Income","126.90","121.52","34.90","111.47","121.85"," ",
"P/L Before Int., Excpt. Items & Tax","733.78","1,442.47","807.08","1,144.25","1,004.85"," ",
"Interest","382.16","379.41","225.70","137.86","137.54"," ",
"P/L Before Exceptional Items & Tax","351.62","1,063.06","581.39","1,006.39","867.31"," ",
"Exceptional Items","-1.27","-11.02","--","-200.00","--"," ",
"P/L Before Tax","350.35","1,052.04","581.39","806.39","867.31"," ",
"Tax","89.29","329.22","72.76","214.28","244.92"," ",
"P/L After Tax from Ordinary Activities","261.06","722.82","508.62","592.11","622.39"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","261.06","722.82","508.62","592.11","622.39"," ",
"Equity Share Capital","63.51","63.51","57.21","57.21","57.21"," ",
"Reserves Excluding Revaluation Reserves","9,454.96","9,409.05","7,634.94","7,583.96","7,203.41"," ",
"Equity Dividend Rate (%)","325.00","350.00","300.00","325.00","300.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","4.11","11.72","8.89","10.35","11.55"," ",
"Diluted EPS","4.11","11.72","8.89","10.35","11.55"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","4.11","11.72","8.89","10.35","11.55"," ",
"Diluted EPS.","4.11","11.72","8.89","10.35","11.55"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
