"Cash Flow of Apollo Tyres (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","350.35","1,052.04","581.39","806.39","867.31"," ",
"Net CashFlow From Operating Activities","1,644.13","1,494.10","1,895.37","592.67","933.34"," ",
"Net Cash Used In Investing Activities","-896.44","-2,160.58","-2,675.14","-456.71","-2,754.05"," ",
"Net Cash Used From Financing Activities","-658.03","666.66","807.26","-178.01","1,933.83"," ",
"Foreign Exchange Gains / Losses","-0.07","0.07","0.00","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","0.00","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","89.59","0.26","27.49","-42.05","113.12"," ",
"Cash And Cash Equivalents Begin of Year","225.81","225.56","198.06","240.11","127.00"," ",
"Cash And Cash Equivalents End Of Year","315.41","225.81","225.56","198.06","240.11"," ",
