"Nine Months Results of Apollo Tyres (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","12,934.79","10,661.36","7,818.86","8,461.62","9,125.55"," ",
"Other Operating Income","--","--","281.71","170.41","166.57"," ",
"Total Income From Operations","12,934.79","10,661.36","8,100.57","8,632.02","9,292.12"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","8,242.95","6,802.78","4,072.39","4,804.78","5,950.41"," ",
"Purchase of Traded Goods","723.03","624.24","463.68","517.77","539.93"," ",
"Increase/Decrease in Stocks","3.32","-202.26","176.72","64.82","-451.58"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","758.10","777.81","638.55","636.18","556.03"," ",
"Depreciation","664.91","590.15","522.71","446.84","314.97"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","1,792.87","1,604.05","1,278.77","1,565.38","1,569.30"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","749.62","464.60","947.76","596.25","813.05"," ",
"Other Income","57.95","88.60","68.91","31.59","65.93"," ",
"P/L Before Int., Excpt. Items & Tax","807.57","553.20","1,016.67","627.84","878.98"," ",
"Interest","348.94","274.05","293.88","151.63","107.62"," ",
"P/L Before Exceptional Items & Tax","458.63","279.15","722.79","476.21","771.37"," ",
"Exceptional Items","--","-1.27","-10.37","--","-100.00"," ",
"P/L Before Tax","458.63","277.88","712.41","476.21","671.37"," ",
"Tax","135.92","71.11","214.42","95.93","184.64"," ",
"P/L After Tax from Ordinary Activities","322.71","206.77","498.00","380.28","486.73"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","322.71","206.77","498.00","380.28","486.73"," ",
"Equity Share Capital","63.51","63.51","63.51","57.21","57.21"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","5.08","3.26","8.15","6.65","8.51"," ",
"Diluted EPS","5.08","3.26","8.15","6.65","8.51"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","5.08","3.26","8.15","6.65","8.51"," ",
"Diluted EPS.","5.08","3.26","8.15","6.65","8.51"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
