"Key Financial Ratios of Apollo Tyres (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
"Per Share Ratios","","","","",""," ",
"Basic EPS (Rs.)","4.11","11.72","8.89","10.35","11.55"," ",
"Diluted EPS (Rs.)","4.11","11.72","8.89","10.35","11.55"," ",
"Cash EPS (Rs.)","17.08","22.61","19.74","18.15","17.25"," ",
"Book Value [ExclRevalReserve]/Share (Rs.)","149.87","149.15","134.47","133.58","126.92"," ",
"Book Value [InclRevalReserve]/Share (Rs.)","149.87","149.15","134.47","133.58","126.92"," ",
"Dividend / Share(Rs.)","3.25","3.50","3.00","3.25","3.00"," ",
"Revenue from Operations/Share (Rs.)","230.66","184.75","193.38","215.96","180.05"," ",
"PBDIT/Share (Rs.)","24.53","33.94","24.96","27.80","23.94"," ",
"PBIT/Share (Rs.)","11.55","22.71","14.11","20.00","17.57"," ",
"PBT/Share (Rs.)","5.52","16.56","10.16","14.10","15.16"," ",
"Net Profit/Share (Rs.)","4.11","11.38","8.89","10.35","10.88"," ",
"Profitability Ratios","","","","",""," ",
"PBDIT Margin (%)","10.63","18.37","12.90","12.87","13.29"," ",
"PBIT Margin (%)","5.00","12.29","7.29","9.26","9.75"," ",
"PBT Margin (%)","2.39","8.96","5.25","6.52","8.42"," ",
"Net Profit Margin (%)","1.78","6.16","4.59","4.79","6.04"," ",
"Return on Networth / Equity (%)","2.74","7.63","6.61","7.74","8.57"," ",
"Return on Capital Employed (%)","4.93","9.72","6.51","10.40","6.18"," ",
"Return on Assets (%)","1.30","3.77","3.08","4.33","4.73"," ",
"Total Debt/Equity (X)","0.46","0.40","0.56","0.36","0.35"," ",
"Asset Turnover Ratio (%)","0.75","0.66","67.11","90.51","78.36"," ",
"Liquidity Ratios","","","","",""," ",
"Current Ratio (X)","0.93","1.13","0.71","1.33","1.59"," ",
"Quick Ratio (X)","0.45","0.65","0.27","0.55","1.03"," ",
"Inventory Turnover Ratio (X)","4.18","3.21","6.12","6.02","5.98"," ",
"Dividend Payout Ratio (NP) (%)","0.00","0.00","70.29","28.98","24.53"," ",
"Dividend Payout Ratio (CP) (%)","0.00","0.00","31.65","16.52","15.47"," ",
"Earnings Retention Ratio (%)","0.00","0.00","29.71","71.02","75.47"," ",
"Cash Earnings Retention Ratio (%)","0.00","0.00","68.35","83.48","84.53"," ",
"Valuation Ratios","","","","",""," ",
"Enterprise Value (Cr.)","15,997.62","16,571.03","8,629.03","15,204.01","18,005.55"," ",
"EV/Net Operating Revenue (X)","1.09","1.41","0.78","1.23","1.75"," ",
"EV/EBITDA (X)","10.27","7.69","6.04","9.56","13.15"," ",
"MarketCap/Net Operating Revenue (X)","0.83","1.21","0.41","1.03","1.53"," ",
"Retention Ratios (%)","0.00","0.00","29.70","71.01","75.46"," ",
"Price/BV (X)","1.28","1.50","0.59","1.66","2.17"," ",
"Price/Net Operating Revenue","0.83","1.21","0.41","1.03","1.53"," ",
"Earnings Yield","0.02","0.05","0.11","0.05","0.04"," ",
