"Cash Flow of Zydus Lifesciences (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","1,163.90","1,688.50","1,625.90","1,796.50","1,497.20"," ",
"Net CashFlow From Operating Activities","1,310.70","2,225.30","1,180.60","580.70","289.20"," ",
"Net Cash Used In Investing Activities","768.20","-2,713.80","55.00","-745.20","26.50"," ",
"Net Cash Used From Financing Activities","-1,709.80","257.20","-966.70","64.90","-148.70"," ",
"Foreign Exchange Gains / Losses","0.00","0.00","-0.40","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","32.60","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","369.10","-231.30","268.50","-67.00","167.00"," ",
"Cash And Cash Equivalents Begin of Year","154.00","385.30","116.80","183.80","16.80"," ",
"Cash And Cash Equivalents End Of Year","523.10","154.00","385.30","116.80","183.80"," ",
