"Half Yearly Results of Zydus Lifesciences (in Rs. Cr.)","Sep '22","Mar '22","Sep '21","Mar '21","Sep '20"," ",
"Net Sales/Income from operations","4,053.20","3,749.50","4,132.30","3,937.60","3,852.80"," ",
"Other Operating Income","326.50","100.10","--","--","--"," ",
"Total Income From Operations","4,379.70","3,849.60","4,132.30","3,937.60","3,852.80"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","1,270.70","1,273.30","1,355.70","1,222.20","1,124.20"," ",
"Purchase of Traded Goods","206.90","178.40","109.70","56.80","96.50"," ",
"Increase/Decrease in Stocks","81.10","-19.30","-27.60","-65.40","-82.90"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","642.70","582.20","622.70","576.50","570.80"," ",
"Depreciation","247.10","242.80","235.90","228.10","223.00"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","955.00","1,018.80","969.90","1,045.20","927.40"," ",
"P/L Before Other","976.20","573.40","866.00","874.20","993.80"," ",
"Other Income","160.90","79.60","99.10","-1.90","80.80"," ",
"P/L Before Int.","1,137.10","653.00","965.10","872.30","1,074.60"," ",
"Interest","104.70","66.60","68.30","36.10","34.80"," ",
"P/L Before Exceptional Items & Tax","1,032.40","586.40","896.80","836.20","1,039.80"," ",
"Exceptional Items","--","--","-319.30","-187.50","--"," ",
"P/L Before Tax","1,032.40","586.40","577.50","648.70","1,039.80"," ",
"Tax","249.80","142.50","163.50","43.70","168.60"," ",
"P/L After Tax from Ordinary Activities","782.60","443.90","414.00","605.00","871.20"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","782.60","443.90","414.00","605.00","871.20"," ",
"Equity Share Capital","101.20","102.40","102.40","102.40","102.40"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","12,642.10","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","7.68","4.33","4.04","5.91","8.51"," ",
"Diluted EPS","7.68","--","4.04","--","8.51"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","7.73","4.33","4.04","5.91","8.51"," ",
"Diluted EPS.","7.68","--","4.04","--","8.51"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
