"Nine Months Results of Zydus Lifesciences (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","6,466.60","5,962.60","5,675.00","4,601.70","4,611.40"," ",
"Other Operating Income","--","--","96.60","273.40","213.50"," ",
"Total Income From Operations","6,466.60","5,962.60","5,771.60","4,875.10","4,824.90"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","1,896.80","1,921.80","1,754.40","1,407.60","1,352.70"," ",
"Purchase of Traded Goods","285.20","190.80","112.80","259.50","289.10"," ",
"Increase/Decrease in Stocks","119.80","-5.00","-143.90","-82.50","-52.20"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","968.80","916.00","852.60","810.20","721.50"," ",
"Depreciation","368.70","355.90","336.10","279.90","261.40"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","1,514.10","1,478.50","1,480.80","1,415.70","1,164.80"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","1,313.20","1,104.60","1,378.80","784.70","1,087.60"," ",
"Other Income","297.20","125.00","105.80","473.80","565.50"," ",
"P/L Before Int., Excpt. Items & Tax","1,610.40","1,229.60","1,484.60","1,258.50","1,653.10"," ",
"Interest","193.20","92.90","50.40","129.90","63.00"," ",
"P/L Before Exceptional Items & Tax","1,417.20","1,136.70","1,434.20","1,128.60","1,590.10"," ",
"Exceptional Items","--","-319.30","-187.50","--","--"," ",
"P/L Before Tax","1,417.20","817.40","1,246.70","1,128.60","1,590.10"," ",
"Tax","378.70","206.40","235.20","140.40","250.10"," ",
"P/L After Tax from Ordinary Activities","1,038.50","611.00","1,011.50","988.20","1,340.00"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","1,038.50","611.00","1,011.50","988.20","1,340.00"," ",
"Equity Share Capital","101.20","102.40","102.40","102.40","102.40"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","10.21","5.97","9.88","9.65","13.09"," ",
"Diluted EPS","10.21","5.97","9.88","9.65","13.09"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","10.21","5.97","9.88","9.65","13.09"," ",
"Diluted EPS.","10.21","5.97","9.88","9.65","13.09"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
