"Quarterly Results of Zydus Lifesciences (in Rs. Cr.)","Dec '22","Sep '22","Jun '22","Mar '22","Dec '21"," ",
"Net Sales/Income from operations","2,086.90","2,216.80","1,980.90","1,919.20","1,830.30"," ",
"Other Operating Income","--","182.00","--","100.10","--"," ",
"Total Income From Operations","2,086.90","2,398.80","1,980.90","2,019.30","1,830.30"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","626.10","721.60","549.10","707.20","566.10"," ",
"Purchase of Traded Goods","78.30","85.60","121.30","97.30","81.10"," ",
"Increase/Decrease in Stocks","38.70","67.90","13.20","-41.90","22.60"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","326.10","323.20","319.50","288.90","293.30"," ",
"depreciat","121.60","124.00","123.10","122.80","120.00"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","--","--","--"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","559.10","521.50","433.50","510.20","508.60"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","337.00","555.00","421.20","334.80","238.60"," ",
"Other Income","136.30","109.20","51.70","53.70","25.90"," ",
"P/L Before Int., Excpt. Items & Tax","473.30","664.20","472.90","388.50","264.50"," ",
"Interest","88.50","64.10","40.60","42.00","24.60"," ",
"P/L Before Exceptional Items & Tax","384.80","600.10","432.30","346.50","239.90"," ",
"Exceptional Items","--","--","--","--","--"," ",
"P/L Before Tax","384.80","600.10","432.30","346.50","239.90"," ",
"Tax","128.90","149.00","100.80","99.60","42.90"," ",
"P/L After Tax from Ordinary Activities","255.90","451.10","331.50","246.90","197.00"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","255.90","451.10","331.50","246.90","197.00"," ",
"Equity Share Capital","101.20","101.20","102.40","102.40","102.40"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.53","4.45","3.24","2.41","1.92"," ",
"Diluted EPS","2.53","4.45","3.24","2.41","1.92"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.53","4.45","3.24","2.41","1.92"," ",
"Diluted EPS.","2.53","4.45","3.24","2.41","1.92"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
