"Profit & Loss account of Zydus Wellness (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"INCOME","","","","",""," ",
"Revenue From Operations [Gross]","190.42","112.83","153.51","159.65","136.84"," ",
"Less: Excise/Sevice Tax/Other Levies","0.00","0.00","0.00","0.00","0.73"," ",
"Revenue From Operations [Net]","190.42","112.83","153.51","159.65","136.11"," ",
"Total Operating Revenues","216.25","113.83","153.43","254.61","264.15"," ",
"Other Income","15.40","66.80","109.48","60.55","27.54"," ",
"Total Revenue","231.65","180.63","262.91","315.16","291.69"," ",
"EXPENSES","","","","",""," ",
"Cost Of Materials Consumed","145.89","83.42","98.88","94.50","81.78"," ",
"Purchase Of Stock-In Trade ","0.00","0.00","1.12","0.80","0.02"," ",
"Operating And Direct Expenses","0.00","0.00","0.00","0.00","0.00"," ",
"Changes In Inventories Of FG,WIP And Stock-In Trade","6.54","-1.27","-6.05","0.98","-0.64"," ",
"Employee Benefit Expenses","31.06","30.64","31.68","30.91","26.48"," ",
"Finance Costs","2.02","74.66","140.29","29.93","1.59"," ",
"Depreciation And Amortisation Expenses","2.84","3.49","2.95","2.61","3.51"," ",
"Other Expenses","38.08","50.76","48.66","55.14","44.83"," ",
"Total Expenses","226.43","241.70","317.53","214.87","157.57"," ",
"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax","5.22","-61.07","-54.62","100.29","134.12"," ",
"Exceptional Items","0.00","-127.06","-0.32","-3.13","0.00"," ",
"Profit/Loss Before Tax","5.22","-188.13","-54.94","97.16","134.12"," ",
"Tax Expenses-Continued Operations","","","","",""," ",
"Current Tax","0.00","0.00","0.00","0.94","0.70"," ",
"Less: MAT Credit Entitlement","0.00","0.00","0.00","0.00","0.00"," ",
"Deferred Tax","-7.48","-5.99","-14.21","-0.08","-0.38"," ",
"Tax For Earlier Years","0.00","0.00","0.00","0.00","0.00"," ",
"Total Tax Expenses","-7.48","-5.99","-14.21","0.86","0.32"," ",
"Profit/Loss After Tax And Before ExtraOrdinary Items","12.70","-182.14","-40.73","96.30","133.80"," ",
"Profit/Loss From Continuing Operations","12.70","-182.14","-40.73","96.30","133.80"," ",
"Profit/Loss For The Period","12.70","-182.14","-40.73","96.30","133.80"," ",
"OTHER ADDITIONAL INFORMATION","","","","",""," ",
"EARNINGS PER SHARE","","","","",""," ",
"Basic EPS (Rs.)","2.00","-29.99","-7.06","22.83","34.24"," ",
"Diluted EPS (Rs.)","2.00","-29.99","-7.06","22.83","34.24"," ",
"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Raw Materials","0.00","0.00","0.00","0.00","0.00"," ",
"STORES, SPARES AND LOOSE TOOLS","","","","",""," ",
"Imported Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"Indigenous Stores And Spares","0.00","0.00","0.00","0.00","0.00"," ",
"DIVIDEND AND DIVIDEND PERCENTAGE","","","","",""," ",
"Equity Share Dividend","31.82","0.00","57.67","31.26","0.00"," ",
"Tax On Dividend","0.00","0.00","11.85","6.42","0.00"," ",
"Equity Dividend Rate (%)","50.00","50.00","50.00","50.00","80.00"," ",
