"Yearly Results of Zydus Wellness (in Rs. Cr.)","Mar '22","Mar '21","Mar '20","Mar '19","Mar '18"," ",
"Net Sales/Income from operations","190.42","112.83","153.43","254.61","264.15"," ",
"Other Operating Income","25.83","1.00","--","--","--"," ",
"Total Income From Operations","216.25","113.83","153.43","254.61","264.15"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","145.89","83.42","98.88","94.50","81.78"," ",
"Purchase of Traded Goods","--","--","1.12","0.80","0.02"," ",
"Increase/Decrease in Stocks","6.54","-1.27","-6.05","0.98","-0.64"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","31.06","30.64","33.97","30.91","26.48"," ",
"Depreciation","2.84","3.49","2.95","2.61","3.51"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","10.93","11.18","5.94","16.31","10.28"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","27.15","39.58","40.62","41.96","34.55"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","-8.16","-53.21","-24.00","66.54","108.17"," ",
"Other Income","15.40","66.80","109.48","60.55","27.54"," ",
"P/L Before Int., Excpt. Items & Tax","7.24","13.59","85.48","127.09","135.71"," ",
"Interest","2.02","74.66","140.29","29.93","1.59"," ",
"P/L Before Exceptional Items & Tax","5.22","-61.07","-54.81","97.16","134.12"," ",
"Exceptional Items","--","-127.06","-0.13","--","--"," ",
"P/L Before Tax","5.22","-188.13","-54.94","97.16","134.12"," ",
"Tax","-7.48","-5.99","-14.21","0.86","0.32"," ",
"P/L After Tax from Ordinary Activities","12.70","-182.14","-40.73","96.30","133.80"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","12.70","-182.14","-40.73","96.30","133.80"," ",
"Equity Share Capital","63.63","63.63","57.66","57.65","39.07"," ",
"Reserves Excluding Revaluation Reserves","3,936.55","3,955.66","3,157.04","3,267.58","652.12"," ",
"Equity Dividend Rate (%)","50.00","50.00","50.00","50.00","80.00"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","2.00","-29.99","-7.06","22.83","34.25"," ",
"Diluted EPS","2.00","-29.99","-7.06","22.83","34.25"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","2.00","-29.99","-7.06","22.83","34.25"," ",
"Diluted EPS.","2.00","-29.99","-7.06","22.83","34.25"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
