"Cash Flow of Zydus Wellness (in Rs. Cr.)","Mar 22","Mar 21","Mar 20","Mar 19","Mar 18"," ",
" ","12 mths","12 mths","12 mths","12 mths","12 mths"," ",
"Net Profit/Loss Before Extraordinary Items And Tax","5.22","-188.13","-54.94","97.16","134.12"," ",
"Net CashFlow From Operating Activities","-16.27","-51.95","-19.67","86.18","112.70"," ",
"Net Cash Used In Investing Activities","39.33","816.14","266.58","-4,131.44","-108.79"," ",
"Net Cash Used From Financing Activities","-37.69","-709.99","-260.09","4,048.94","-1.71"," ",
"Foreign Exchange Gains / Losses","0.00","0.00","0.00","0.00","0.00"," ",
"Adjustments On Amalgamation Merger Demerger Others","0.00","0.00","0.00","0.00","0.00"," ",
"Net Inc/Dec In Cash And Cash Equivalents","-14.63","54.20","-13.18","3.68","2.20"," ",
"Cash And Cash Equivalents Begin of Year","84.00","29.80","42.98","13.23","11.03"," ",
"Cash And Cash Equivalents End Of Year","69.37","84.00","29.80","16.91","13.23"," ",
