"Half Yearly Results of Zydus Wellness (in Rs. Cr.)","Sep '22","Mar '22","Sep '21","Mar '21","Sep '20"," ",
"Net Sales/Income from operations","129.02","124.82","84.96","79.48","33.35"," ",
"Other Operating Income","--","6.47","--","0.40","0.60"," ",
"Total Income From Operations","129.02","131.29","84.96","79.88","33.95"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","84.71","81.32","64.57","65.18","18.24"," ",
"Purchase of Traded Goods","--","--","--","--","--"," ",
"Increase/Decrease in Stocks","2.22","6.59","-0.05","-5.22","3.95"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","15.52","13.74","17.32","13.67","16.97"," ",
"Depreciation","1.78","1.47","1.37","1.80","1.69"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","4.42","--","6.69","4.49"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","8.67","11.48","22.18","21.62","17.96"," ",
"P/L Before Other","16.12","12.27","-20.43","-23.86","-29.35"," ",
"Other Income","6.60","7.25","8.15","13.19","53.61"," ",
"P/L Before Int.","22.72","19.52","-12.28","-10.67","24.26"," ",
"Interest","0.46","1.03","0.99","5.15","69.51"," ",
"P/L Before Exceptional Items & Tax","22.26","18.49","-13.27","-15.82","-45.25"," ",
"Exceptional Items","--","--","--","-127.06","--"," ",
"P/L Before Tax","22.26","18.49","-13.27","-142.88","-45.25"," ",
"Tax","-0.47","-7.48","--","--","-5.99"," ",
"P/L After Tax from Ordinary Activities","22.73","25.97","-13.27","-142.88","-39.26"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","22.73","25.97","-13.27","-142.88","-39.26"," ",
"Equity Share Capital","63.63","63.63","63.63","63.63","63.63"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","3.57","4.08","-2.09","-22.45","-6.78"," ",
"Diluted EPS","3.57","--","-2.09","--","-6.78"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","3.57","4.08","-2.09","-22.45","-6.78"," ",
"Diluted EPS.","3.57","--","-2.09","--","-6.78"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group).","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company).","--","--","--","--","--"," ",
