"Nine Months Results of Zydus Wellness (in Rs. Cr.)","Dec '22","Dec '21","Dec '20","Dec '19","Dec '18"," ",
"Net Sales/Income from operations","168.41","155.82","70.94","119.11","220.50"," ",
"Other Operating Income","24.33","--","0.71","--","--"," ",
"Total Income From Operations","192.74","155.82","71.65","119.11","220.50"," ",
"EXPENDITURE","","","","",""," ",
"Consumption of Raw Materials","126.98","103.59","47.70","69.60","70.16"," ",
"Purchase of Traded Goods","--","--","--","1.11","0.63"," ",
"Increase/Decrease in Stocks","0.84","6.99","0.56","1.45","0.63"," ",
"Power & Fuel","--","--","--","--","--"," ",
"Employees Cost","21.71","25.28","23.75","27.51","24.13"," ",
"Depreciation","2.52","2.07","2.62","1.95","1.97"," ",
"Excise Duty","--","--","--","--","--"," ",
"Admin. And Selling Expenses","--","--","5.47","5.20","14.12"," ",
"R & D Expenses","--","--","--","--","--"," ",
"Provisions And Contingencies","--","--","--","--","--"," ",
"Exp. Capitalised","--","--","--","--","--"," ",
"Other Expenses","12.96","28.92","29.50","32.94","30.59"," ",
"P/L Before Other Inc. , Int., Excpt. Items & Tax","27.73","-11.03","-37.95","-20.65","78.27"," ",
"Other Income","9.94","11.85","61.22","78.92","29.97"," ",
"P/L Before Int., Excpt. Items & Tax","37.67","0.82","23.27","58.27","108.24"," ",
"Interest","1.01","1.53","74.38","105.84","1.26"," ",
"P/L Before Exceptional Items & Tax","36.66","-0.71","-51.11","-47.57","106.98"," ",
"Exceptional Items","--","--","-127.06","--","--"," ",
"P/L Before Tax","36.66","-0.71","-178.17","-47.57","106.98"," ",
"Tax","-1.10","--","-5.99","-12.47","0.58"," ",
"P/L After Tax from Ordinary Activities","37.76","-0.71","-172.18","-35.10","106.40"," ",
"Prior Year Adjustments","--","--","--","--","--"," ",
"Extra Ordinary Items","--","--","--","--","--"," ",
"Net Profit/(Loss) For the Period","37.76","-0.71","-172.18","-35.10","106.40"," ",
"Equity Share Capital","63.63","63.63","63.63","57.66","39.07"," ",
"Reserves Excluding Revaluation Reserves","--","--","--","--","--"," ",
"Equity Dividend Rate (%)","--","--","--","--","--"," ",
"EPS Before Extra Ordinary","","","","",""," ",
"Basic EPS","5.93","-0.11","-28.79","-6.09","27.23"," ",
"Diluted EPS","5.93","-0.11","-28.79","-6.09","27.23"," ",
"EPS After Extra Ordinary","","","","",""," ",
"Basic EPS.","5.93","-0.11","-28.79","-6.09","27.23"," ",
"Diluted EPS.","5.93","-0.11","-28.79","-6.09","27.23"," ",
"Public Share Holding","","","","",""," ",
"No Of Shares (Crores)","--","--","--","--","--"," ",
"Share Holding (%)","--","--","--","--","--"," ",
"Promoters and Promoter Group Shareholding","","","","",""," ",
"a) Pledged/Encumbered","","","","",""," ",
"- Number of shares (Crores)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group)","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company)","--","--","--","--","--"," ",
"b) Non-encumbered","","","","",""," ",
"- Number of shares (Crores) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total sh. of prom. and promoter group) ","--","--","--","--","--"," ",
"- Per. of shares (as a % of the total Share Cap. of the company) ","--","--","--","--","--"," ",
